,Close,sma_200,trend_above_sma,trip_count,timing_on,combined_invested,always_timing_invested,signal_score,combined_equity,always_timing_equity,buy_hold_equity,combined_growth_10k,always_timing_growth_10k,buy_hold_growth_10k,trend_level
2005-12-31,85.49710845947266,82.47750991821289,True,0,False,True,True,0.0,218.43834188011422,159.02220332710527,92.69350266540738,2184383.4188011424,1590222.0332710526,926935.0266540739,82.47750991821289
2006-01-31,87.55023956298828,83.29151245117187,True,0,False,True,True,0.0,223.68392926892088,162.84096910390608,94.91944827743202,2236839.292689209,1628409.6910390607,949194.4827743203,83.29151245117187
2006-02-28,88.05152893066406,84.1574178314209,True,0,False,True,True,0.0,224.96468390788192,163.77335314809906,95.4629317726758,2249646.8390788194,1637733.5314809906,954629.3177267581,84.1574178314209
2006-03-31,89.50470733642578,85.08829814910888,True,0,False,True,True,0.0,228.67743966220127,166.47622387759438,97.03842594850089,2286774.396622013,1664762.2387759439,970384.2594850089,85.08829814910888
2006-04-30,90.63532257080078,85.82568054199218,True,0,False,True,True,0.0,231.5660720563406,168.57913623246927,98.26420642376415,2315660.720563406,1685791.3623246928,982642.0642376415,85.82568054199218
2006-05-31,87.90531921386719,86.38335712432861,True,1,False,True,True,1.0,224.5911296593308,163.50140721060694,95.30441540858088,2245911.296593308,1635014.0721060694,953044.1540858088,86.38335712432861
2006-06-30,88.13463592529297,86.73996524810791,True,0,False,True,True,0.0,225.1770156981901,159.95322400773793,95.55303398276158,2251770.1569819013,1599532.2400773794,955530.3398276158,86.73996524810791
2006-07-31,88.52928924560547,87.19489974975586,True,1,False,True,True,1.0,226.1853236802945,156.95067440430526,95.98090574658426,2261853.236802945,1569506.7440430527,959809.0574658426,87.19489974975586
2006-08-31,90.46122741699219,88.00567375183105,True,1,False,True,True,1.0,231.12127272438008,160.37574424831314,98.07545747196482,2311212.7272438006,1603757.4424831313,980754.5747196482,88.00567375183105
2006-09-30,92.90380859375,88.56040725708007,True,1,False,True,True,1.0,237.3618742110546,164.70611633472893,100.72363363719265,2373618.742110546,1647061.1633472894,1007236.3363719265,88.56040725708007
2006-10-31,95.83184051513672,89.39517601013183,True,1,False,True,True,1.0,244.84276390901354,169.89712813043008,103.89812151871097,2448427.639090135,1698971.2813043008,1038981.2151871097,89.39517601013183
2006-11-30,97.73744201660156,90.39213848114014,True,1,False,True,True,1.0,249.7114248469627,173.27550655580092,105.96411978506129,2497114.248469627,1732755.065558009,1059641.197850613,90.39213848114014
2006-12-31,99.0443344116211,91.41918235778809,True,1,False,True,True,1.0,253.0504314277421,175.5924532354824,107.3810148810933,2530504.3142774208,1755924.532354824,1073810.1488109329,91.41918235778809
2007-01-31,100.53398132324219,92.41702423095703,True,1,False,True,True,1.0,256.85636132671164,178.23339940590282,108.99604716067407,2568563.6132671162,1782333.994059028,1089960.4716067407,92.41702423095703
2007-02-28,98.561767578125,93.43489616394044,True,1,False,True,True,1.0,251.81751138103448,174.73692631769316,106.85782981819595,2518175.1138103446,1747369.2631769315,1068578.2981819594,93.43489616394044
2007-03-31,99.70397186279297,94.66618350982667,True,1,False,True,True,1.0,254.7357528809737,176.76190284595586,108.09617480802098,2547357.528809737,1767619.0284595585,1080961.7480802098,94.66618350982667
2007-04-30,104.12046813964844,96.24405101776124,True,1,False,True,True,1.0,266.01955114057563,184.59176429704593,112.88441287579744,2660195.511405756,1845917.6429704593,1128844.1287579744,96.24405101776124
2007-05-31,107.65220642089844,98.30428810119629,True,1,False,True,True,1.0,275.04286278247116,190.85306730518226,116.71342180586839,2750428.6278247116,1908530.6730518227,1167134.218058684,98.30428810119629
2007-06-30,106.07828521728516,100.03387172698974,True,1,False,True,True,1.0,271.02161874086454,188.06271400548476,115.00702176601878,2710216.187408645,1880627.1400548476,1150070.2176601877,100.03387172698974
2007-07-31,102.75696563720703,101.5483355331421,True,1,False,True,True,1.0,262.5359102181008,182.1744554139209,111.40614273167611,2625359.102181008,1821744.554139209,1114061.427316761,101.5483355331421
2007-08-31,104.07559967041016,102.35956035614014,True,2,True,True,True,3.0,253.90753176631324,176.18719773075756,112.83576777366625,2539075.317663132,1761871.9773075755,1128357.6777366626,102.35956035614014
2007-09-30,108.10478210449219,103.13251644134522,True,2,True,True,True,3.0,263.7373071422299,183.00810834241878,117.20409132779008,2637373.071422299,1830081.0834241877,1172040.9132779008,103.13251644134522
2007-10-31,109.57146453857422,104.26294971466065,True,3,True,True,True,4.0,267.31549182626827,185.49102142521804,118.79422618220251,2673154.918262683,1854910.2142521804,1187942.261822025,104.26294971466065
2007-11-30,105.327392578125,104.59845123291015,True,3,True,True,True,4.0,250.6054976720623,173.89590637035417,114.19292559243398,2506054.976720623,1738959.0637035416,1141929.2559243399,104.59845123291015
2007-12-31,104.14141845703125,105.21605968475342,False,3,True,False,False,4.0,242.90636785142965,168.55345709905396,112.90712660653236,2429063.6785142967,1685534.5709905396,1129071.2660653235,105.21605968475342
2008-01-31,97.84485626220703,104.93178497314453,False,4,True,False,False,5.0,243.86114196684053,169.2159777209901,106.08057521660425,2438611.4196684053,1692159.777209901,1060805.7521660423,104.93178497314453
2008-02-29,95.31634521484375,104.09790584564209,False,4,True,False,False,5.0,244.26014127600115,169.4928445381675,103.33923636045591,2442601.4127600114,1694928.4453816751,1033392.3636045591,104.09790584564209
2008-03-31,94.46395874023438,102.83126979827881,False,4,True,False,False,5.0,244.8302691315412,169.88845796687156,102.41510349351091,2448302.691315412,1698884.5796687156,1024151.0349351091,102.83126979827881
2008-04-30,98.96636199951172,101.82829940795898,False,4,True,False,False,5.0,244.67004065670523,169.77727494767697,107.29647943749842,2446700.4065670525,1697772.7494767697,1072964.7943749842,101.82829940795898
2008-05-31,100.46234130859375,101.3821939086914,False,4,True,False,False,5.0,235.31006100904796,163.28235700071576,108.91837712003257,2353100.6100904797,1632823.5700071575,1089183.7712003258,101.3821939086914
2008-06-30,92.06614685058594,100.66132976531982,False,5,True,False,False,6.0,235.8597582567099,163.66379356934422,99.81546490000656,2358597.582567099,1636637.9356934421,998154.6490000656,100.66132976531982
2008-07-31,91.23886108398438,98.66069175720214,False,4,True,False,False,5.0,236.30224943814477,163.9708395271196,98.91854549778049,2363022.494381448,1639708.395271196,989185.4549778048,98.66069175720214
2008-08-31,92.64888000488281,97.13074447631836,False,5,True,False,False,6.0,236.48766889079496,164.09950264136415,100.44724740311483,2364876.6889079497,1640995.0264136416,1004472.4740311482,97.13074447631836
